,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
0,0,2017-04-01,APCL,215.12066838743127,236.93392138421137,207.2042253987109,214.77647399902344,59257,
1,1,2017-05-01,APCL,214.77646997469893,220.1114689227274,183.2828097764568,192.2748565673828,88813,
2,2,2017-06-01,APCL,191.930658102706,207.20421710865472,182.5513963246732,188.23057556152344,65793,
3,3,2017-07-01,APCL,188.48873171457663,220.283565384926,185.86425305390748,193.264404296875,71532,
4,4,2017-08-01,APCL,190.59691066433933,255.39126032074657,164.3521931161564,241.79562377929688,495654,
5,5,2017-09-01,APCL,242.63724864313872,246.0911730281602,199.0316285442985,209.7819366455078,241654,
6,6,2017-10-01,APCL,209.78191773966472,247.8181128869521,207.23465925099728,236.7224273681641,183510,
7,7,2017-11-01,APCL,236.1611916512801,241.34205023419625,198.5998968203153,204.08297729492188,140034,
8,8,2017-12-01,APCL,205.2486676065508,213.14948066352332,196.87292244544545,207.62322998046875,80564,
9,9,2018-01-01,APCL,208.4435118418681,236.59289397598167,194.3256502305415,194.584701538086,179031,
10,10,2018-02-01,APCL,194.3256824412276,210.6454127669646,162.33383614499792,167.298828125,167111,
11,11,2018-03-01,APCL,166.6943772751605,169.24163578085765,142.47382217708926,148.90673828125,75876,
12,12,2018-04-01,APCL,151.02226482568307,192.7282553722958,151.02226482568307,163.58587646484375,97362,
13,13,2018-05-01,APCL,163.58586716476856,180.89858888977287,147.82739733416764,152.79238891601562,49162,
14,14,2018-06-01,APCL,150.28829289225678,159.65703039500815,120.36879127675354,132.11209106445312,73591,35.24452341642005
15,15,2018-07-01,APCL,130.38513036599474,140.31512712741264,119.80753334983244,133.1482696533203,43183,35.50146474066642
16,16,2018-08-01,APCL,134.18444058590788,144.20079303686467,117.43297779745528,134.91839599609375,96315,35.96888000075578
17,17,2018-09-01,APCL,137.34918396683602,137.34918396683602,110.66669651430423,111.01663208007812,55918,32.53979523201508
18,18,2018-10-01,APCL,111.10411659320673,115.30332920060054,91.85773849759218,102.79318237304688,70707,31.429601052013368
19,19,2018-11-01,APCL,104.98026577619312,121.60213314103676,99.862476185984,109.35443878173828,38602,33.38254518280252
