,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
0,0,0,2010-01-01,GOLDENTOBC,125.6500015258789,151.1999969482422,120.0,125.4499969482422,990699,
1,1,1,2010-02-01,GOLDENTOBC,122.0500030517578,146.39999389648438,121.5500030517578,126.0,637827,
2,2,2,2010-03-01,GOLDENTOBC,126.0,138.4499969482422,109.0500030517578,110.1500015258789,517874,
3,3,3,2010-04-01,GOLDENTOBC,111.0,128.0,108.0500030517578,112.1500015258789,342225,
4,4,4,2010-05-01,GOLDENTOBC,111.75,122.0,98.0500030517578,101.5500030517578,714725,
5,5,5,2010-06-01,GOLDENTOBC,104.8000030517578,117.0,98.4499969482422,104.8000030517578,709467,
6,6,6,2010-07-01,GOLDENTOBC,102.8000030517578,112.1999969482422,101.0999984741211,105.75,565102,
7,7,7,2010-08-01,GOLDENTOBC,107.0,125.3499984741211,101.5,102.25,2405419,
8,8,8,2010-09-01,GOLDENTOBC,103.9499969482422,106.9000015258789,98.1500015258789,99.0500030517578,430390,
9,9,9,2010-10-01,GOLDENTOBC,99.25,104.8000030517578,86.5,87.4000015258789,959590,
10,10,10,2010-11-01,GOLDENTOBC,88.0,97.8000030517578,70.0,75.6500015258789,383671,
11,11,11,2010-12-01,GOLDENTOBC,75.69999694824219,95.9000015258789,62.0,88.25,410103,
12,12,12,2011-01-01,GOLDENTOBC,89.0,94.1999969482422,83.5,86.0,207427,
13,13,13,2011-02-01,GOLDENTOBC,84.0,98.9000015258789,75.19999694824219,83.19999694824219,983347,
14,14,14,2011-03-01,GOLDENTOBC,82.69999694824219,91.5,73.0,81.0999984741211,762332,23.29921678588151
15,15,15,2011-04-01,GOLDENTOBC,82.80000305175781,86.0,76.55000305175781,77.0,160897,22.12303751416601
16,16,16,2011-05-01,GOLDENTOBC,77.05000305175781,88.0999984741211,71.0999984741211,73.0,237500,21.008759435025034
17,17,17,2011-06-01,GOLDENTOBC,73.0,75.80000305175781,70.25,71.55000305175781,251653,20.60363864057031
18,18,18,2011-07-01,GOLDENTOBC,70.0999984741211,77.44999694824219,67.0,68.9000015258789,356610,19.850258757977944
19,19,19,2011-08-01,GOLDENTOBC,68.30000305175781,70.5999984741211,58.150001525878906,59.25,90438,17.360795817729272
20,20,20,2011-09-01,GOLDENTOBC,59.25,64.0,55.0,61.400001525878906,63511,19.774845073138657
21,21,21,2011-10-01,GOLDENTOBC,60.09999847412109,60.25,53.04999923706055,57.0,131596,18.578725334339317
22,22,22,2011-11-01,GOLDENTOBC,56.25,57.70000076293945,41.70000076293945,45.0,30907,15.776049163881996
