,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
526,EMSLIMITED,EMS Limited,Utilities,Utilities,Other Utilities,Waste Management
527,EMUDHRA,eMudhra Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
528,ENDURANCE,Endurance Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
529,ENERGYDEV,Energy Development Company Limited,Utilities,Power,Power,Power Generation
530,ENGINERSIN,Engineers India Limited,Industrials,Construction,Construction,Civil Construction
531,ENIL,Entertainment Network (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment
532,ENTERO,Entero Healthcare Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail
533,EPACK,EPACK Durable Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
534,EPIGRAL,Epigral Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
535,EPL,EPL Limited,Industrials,Capital Goods,Industrial Products,Packaging
536,EQUIPPP,Equippp Social Impact Technologies Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
537,EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank
538,ERIS,Eris Lifesciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
539,ESABINDIA,Esab India Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products
540,ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank
541,ESCORTS,Escorts Kubota Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors
542,ESSARSHPNG,Essar Shipping Limited,Services,Services,Transport Services,Shipping
543,ESSENTIA,Integra Essentia Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
544,ESTER,Ester Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging
545,ETHOSLTD,Ethos Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
546,EUREKAFORB,Eureka Forbes Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
547,EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
548,EVEREADY,Eveready Industries India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
549,EVERESTIND,Everest Industries Limited,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials
550,EXCEL,Excel Realty N Infra Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
551,EXCELINDUS,Excel Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
552,EXICOM,Exicom Tele-Systems Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
553,EXIDEIND,Exide Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
554,EXPLEOSOL,Expleo Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
555,EXXARO,Exxaro Tiles Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
556,FACT,Fertilizers and Chemicals Travancore Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
557,FAIRCHEMOR,Fairchem Organics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
558,FAZE3Q,Faze Three Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
559,FCL,Fineotex Chemical Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
560,FCSSOFT,FCS Software Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
561,FDC,FDC Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
562,FEDERALBNK,The Federal Bank  Limited,Financial Services,Financial Services,Banks,Private Sector Bank
563,FEDFINA,Fedbank Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
564,FEL,Future Enterprises Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
565,FELDVR,Future Enterprises Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
566,FIBERWEB,Fiberweb (India) Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
567,FIEMIND,Fiem Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
568,FILATEX,Filatex India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
569,FILATFASH,Filatex Fashions Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
570,FINCABLES,Finolex Cables Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals
571,FINEORG,Fine Organic Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
572,FINOPB,Fino Payments Bank Limited,Financial Services,Financial Services,Banks,Other Bank
573,FINPIPE,Finolex Industries Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
574,FIRSTCRY,Brainbees Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
575,FIVESTAR,Five-Star Business Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
576,FLAIR,Flair Writing Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
577,FLEXITUFF,Flexituff Ventures International Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
578,FLFL,Future Lifestyle Fashions Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
579,FLUOROCHEM,Gujarat Fluorochemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
580,FMGOETZE,Federal-Mogul Goetze (India) Limited.,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
581,FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
582,FOCUS,Focus Lighting and Fixtures Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
583,FOODSIN,Foods & Inns Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
584,FORCEMOT,FORCE MOTORS LTD,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
585,FORTIS,Fortis Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital
586,FOSECOIND,Foseco India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
587,FSL,Firstsource Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
588,FUSION,Fusion Finance Limited,Financial Services,Financial Services,Finance,Microfinance Institutions
589,GABRIEL,Gabriel India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
590,GAEL,Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
591,GAIL,GAIL (India) Limited,Energy,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing
592,GALAPREC,Gala Precision Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
593,GALAXYSURF,Galaxy Surfactants Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
594,GALLANTT,Gallantt Ispat Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
595,GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
596,GANDHITUBE,Gandhi Special Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
597,GANECOS,Ganesha Ecosphere Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
598,GANESHBE,Ganesh Benzoplast Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation
599,GANESHHOUC,Ganesh Housing Corporation Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
600,GANGAFORGE,Ganga Forging Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
601,GANGESSECU,Ganges Securities Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
602,GARFIBRES,Garware Technical Fibres Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
603,GARUDA,Garuda Construction and Engineering Limited,Industrials,Construction,Construction,Civil Construction
604,GATECH,GACM Technologies Limited,Financial Services,Financial Services,Finance,Other Financial Services
605,GATECHDVR,GACM Technologies Limited,Financial Services,Financial Services,Finance,Other Financial Services
606,GATEWAY,Gateway Distriparks Limited,Services,Services,Transport Services,Logistics Solution Provider
607,GAYAPROJ,Gayatri Projects Limited,Industrials,Construction,Construction,Civil Construction
608,GEECEE,GeeCee Ventures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
609,GEEKAYWIRE,Geekay Wires Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
610,GENCON,Generic Engineering Construction and Projects Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
611,GENESYS,Genesys International Corporation Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
612,GENSOL,Gensol Engineering Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
613,GENUSPAPER,Genus Paper & Boards Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
614,GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
615,GEOJITFSL,Geojit Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
616,GEPIL,GE Power India Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
617,GESHIP,The Great Eastern Shipping Company Limited,Services,Services,Transport Services,Shipping
618,GFLLIMITED,GFL Limited,Financial Services,Financial Services,Finance,Holding Company
619,GHCL,GHCL Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
620,GHCLTEXTIL,GHCL Textiles Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
621,GICHSGFIN,GIC Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company
622,GICRE,General Insurance Corporation of India,Financial Services,Financial Services,Insurance,General Insurance
623,GILLANDERS,Gillanders Arbuthnot & Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
624,GILLETTE,Gillette India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
625,GINNIFILA,Ginni Filaments Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
626,GIPCL,Gujarat Industries Power Company Limited,Utilities,Power,Power,Power Generation
627,GKWLIMITED,GKW Limited,Financial Services,Financial Services,Finance,Investment Company
628,GLAND,Gland Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
629,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
630,GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
631,GLFL,Gujarat Lease Financing Limited,Financial Services,Financial Services,Finance,Other Financial Services
632,GLOBAL,Global Education Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
633,GLOBALE,Globale Tessile Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
634,GLOBALVECT,Global Vectra Helicorp Limited,Services,Services,Transport Services,Airline
635,GLOBE,Globe Textiles (India) Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
636,GLOBE-RE1,Globe Textile (I) Ltd - RE,,,,
637,GLOBUSSPR,Globus Spirits Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
638,GLOSTERLTD,Gloster Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Jute & Jute Products
639,GMBREW,GM Breweries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
640,GMDCLTD,Gujarat Mineral Development Corporation Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
641,GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
642,GMRAIRPORT,GMR AIRPORTS LIMITED,Services,Services,Transport Infrastructure,Airport & Airport services
643,GMRP&UI,GMR Power and Urban Infra Limited,,,,
644,GNA,GNA Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
645,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
646,GOACARBON,Goa Carbon Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
647,GOCLCORP,GOCL Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
648,GOCOLORS,Go Fashion (India) Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
649,GODAVARIB,Godavari Biorefineries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
650,GODFRYPHLP,Godfrey Phillips India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
651,GODHA,Godha Cabcon & Insulation Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals
652,GODIGIT,Go Digit General Insurance Limited,Financial Services,Financial Services,Insurance,General Insurance
653,GODREJAGRO,Godrej Agrovet Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
654,GODREJCP,Godrej Consumer Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
655,GODREJIND,Godrej Industries Limited,Diversified,Diversified,Diversified,Diversified
656,GODREJPROP,Godrej Properties Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
657,GOKEX,Gokaldas Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
658,GOKUL,Gokul Refoils and Solvent Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
659,GOKULAGRO,Gokul Agro Resources Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
660,GOLDENTOBC,Golden Tobacco Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
661,GOLDIAM,Goldiam International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
662,GOLDTECH,AION-TECH SOLUTIONS LIMITED,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
663,GOODLUCK,Goodluck India Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
664,GOPAL,Gopal Snacks Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
665,GOYALALUM,Goyal Aluminiums Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
666,GPIL,Godawari Power And Ispat limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
667,GPPL,Gujarat Pipavav Port Limited,Services,Services,Transport Infrastructure,Port & Port services
668,GPTHEALTH,GPT Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital
669,GPTINFRA,GPT Infraprojects Limited,Industrials,Construction,Construction,Civil Construction
670,GRANULES,Granules India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
671,GRAPHITE,Graphite India Limited,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
672,GRASIM,Grasim Industries Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
673,GRAVITA,Gravita India Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
674,GREAVESCOT,Greaves Cotton Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines
675,GREENLAM,Greenlam Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
676,GREENPANEL,Greenpanel Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
677,GREENPLY,Greenply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
678,GREENPOWER,Orient Green Power Company Limited,Utilities,Power,Power,Power Generation
679,GRINDWELL,Grindwell Norton Limited,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
680,GRINFRA,G R Infraprojects Limited,Industrials,Construction,Construction,Civil Construction
681,GRMOVER,GRM Overseas Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
682,GROBTEA,The Grob Tea Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
683,GRPLTD,GRP Limited,Industrials,Capital Goods,Industrial Products,Rubber
684,GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
685,GRWRHITECH,Garware Hi-Tech Films Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
686,GSFC,Gujarat State Fertilizers & Chemicals Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
687,GSLSU,Global Surfaces Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
688,GSPL,Gujarat State Petronet Limited,Energy,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing
689,GSS,GSS Infotech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
690,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
691,GTL,GTL Limited,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
692,GTLINFRA,GTL Infrastructure Limited,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
693,GTPL,GTPL Hathway Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
694,GUFICBIO,Gufic Biosciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
695,GUJALKALI,Gujarat Alkalies and Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
696,GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
697,GUJGASLTD,Gujarat Gas Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
698,GUJRAFFIA,Gujarat Raffia Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging
699,GULFOILLUB,Gulf Oil Lubricants India Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
700,GULFPETRO,GP Petroleums Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
701,GULPOLY,Gulshan Polyols Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
702,GVKPIL,GVK Power & Infrastructure Limited,Industrials,Construction,Construction,Civil Construction
703,GVPTECH,GVP Infotech Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
704,GVT&D,GE Vernova T&D India Limited,,,,
705,HAL,Hindustan Aeronautics Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
706,HAPPSTMNDS,Happiest Minds Technologies Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
707,HAPPYFORGE,Happy Forgings Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
708,HARDWYN,Hardwyn India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing
709,HARIOMPIPE,Hariom Pipe Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
710,HARRMALAYA,Harrisons  Malayalam Limited,Industrials,Capital Goods,Industrial Products,Rubber
711,HARSHA,Harsha Engineers International Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products
712,HATHWAY,Hathway Cable & Datacom Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
713,HATSUN,Hatsun Agro Product Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
714,HAVELLS,Havells India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
715,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
716,HBLENGINE,HBL Engineering Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
717,HBSL,HB Stockholdings Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
718,HCC,Hindustan Construction Company Limited,Industrials,Construction,Construction,Civil Construction
719,HCG,Healthcare Global Enterprises Limited,Healthcare,Healthcare,Healthcare Services,Hospital
720,HCL-INSYS,HCL Infosystems Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
721,HCLTECH,HCL Technologies Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
722,HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company
723,HDFCBANK,HDFC Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank
724,HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Financial Services,Insurance,Life Insurance
725,HDIL,Housing Development and Infrastructure Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
726,HEADSUP,Heads UP Ventures Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
727,HECPROJECT,HEC Infra Projects Limited,Industrials,Construction,Construction,Civil Construction
728,HEG,HEG Limited,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
729,HEIDELBERG,HeidelbergCement India Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
730,HEMIPROP,Hemisphere Properties India Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
731,HERANBA,Heranba Industries Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
732,HERCULES,Hercules Hoists Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
733,HERITGFOOD,Heritage Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
734,HEROMOTOCO,Hero MotoCorp Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
735,HESTERBIO,Hester Biosciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
736,HEUBACHIND,Heubach Colorants India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
737,HEXATRADEX,Hexa Tradex Limited,Financial Services,Financial Services,Finance,Investment Company
738,HFCL,HFCL Limited,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
739,HGINFRA,H.G. Infra Engineering Limited,Industrials,Construction,Construction,Civil Construction
740,HGS,Hinduja Global Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
741,HIKAL,Hikal Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
742,HIL,HIL Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing
743,HILTON,Hilton Metal Forging Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings
744,HIMATSEIDE,Himatsingka Seide Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
745,HINDALCO,Hindalco Industries Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
746,HINDCOMPOS,Hindustan Composites Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
747,HINDCON,Hindcon Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
748,HINDCOPPER,Hindustan Copper Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Copper
749,HINDMOTORS,Hindustan Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
750,HINDNATGLS,Hindusthan National Glass & Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging
751,HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
752,HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
753,HINDUNILVR,Hindustan Unilever Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
754,HINDWAREAP,Hindware Home Innovation Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware
755,HINDZINC,Hindustan Zinc Limited,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc
756,HIRECT,Hind Rectifiers Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
757,HISARMETAL,Hisar Metal Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
758,HITECH,Hi-Tech Pipes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
759,HITECHCORP,Hitech Corporation Limited,Industrials,Capital Goods,Industrial Products,Packaging
760,HITECHGEAR,The Hi-Tech Gears Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
761,HLEGLAS,HLE Glascoat Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
762,HLVLTD,HLV LIMITED,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
763,HMAAGRO,HMA Agro Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
764,HMT,HMT Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
765,HMVL,Hindustan Media Ventures Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media
766,HNDFDS,Hindustan Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
767,HOMEFIRST,Home First Finance Company India Limited,Financial Services,Financial Services,Finance,Housing Finance Company
768,HONASA,Honasa Consumer Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
769,HONAUT,Honeywell Automation India Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
770,HONDAPOWER,Honda India Power Products Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
771,HOVS,HOV Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services
772,HPAL,HP Adhesives Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
773,HPIL,Hindprakash Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
774,HPL,HPL Electric & Power Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
775,HSCL,Himadri Speciality Chemical Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
776,HTMEDIA,HT Media Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media
777,HUBTOWN,Hubtown Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
778,HUDCO,Housing & Urban Development Corporation Limited,Financial Services,Financial Services,Finance,Financial Institution
779,HUHTAMAKI,Huhtamaki India Limited,Industrials,Capital Goods,Industrial Products,Packaging
780,HYBRIDFIN,Hybrid Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
781,HYUNDAI,Hyundai Motor India Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
782,ICDSLTD,ICDS Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
