,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
19,AARVEEDEN,Aarvee Denims & Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
20,AARVI,Aarvi Encon Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
21,AAVAS,Aavas Financiers Limited,Financial Services,Financial Services,Finance,Housing Finance Company
22,ABAN,Aban Offshore Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
23,ABB,ABB India Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
24,ABBOTINDIA,Abbott India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
25,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Services,Finance,Investment Company
26,ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
27,ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
28,ABINFRA,A B Infrabuild Limited,Industrials,Construction,Construction,Civil Construction
29,ABMINTLLTD,ABM International Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors
30,ABREL,Aditya Birla Real Estate Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
31,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company
32,ACC,ACC Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
33,ACCELYA,Accelya Solutions India Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
34,ACCURACY,Accuracy Shipping Limited,Services,Services,Transport Services,Logistics Solution Provider
35,ACE,Action Construction Equipment Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles
36,ACEINTEG,Ace Integrated Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
37,ACI,Archean Chemical Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
38,ACL,Andhra Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
39,ACLGATI,Allcargo Gati Limited,Services,Services,Transport Services,Logistics Solution Provider
40,ACMESOLAR,Acme Solar Holdings Limited,Financial Services,Financial Services,Finance,Holding Company
41,ADANIENSOL,Adani Energy Solutions Limited,Utilities,Power,Power,Power Distribution
42,ADANIENT,Adani Enterprises Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
43,ADANIGREEN,Adani Green Energy Limited,Utilities,Power,Power,Power Generation
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,Services,Transport Infrastructure,Port & Port services
45,ADANIPOWER,Adani Power Limited,Utilities,Power,Power,Integrated Power Utilities
46,ADFFOODS,ADF Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
47,ADL,Archidply Decor Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
48,ADORWELD,Ador Welding Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products
