date,symbol,open,high,low,close,volume
2011-11-01,STYRENIX,434.9988915834443,452.53916946987346,387.5348824935892,414.9328308105469,72730
2011-12-01,STYRENIX,419.52831918564254,434.8935748742712,398.9360099953866,411.2142028808594,52651
2012-01-01,STYRENIX,415.98527609821554,425.8078323902825,409.740919611937,421.8787841796875,416198
2012-02-01,STYRENIX,422.3698859197443,494.49549907035447,411.28443900670516,482.3576354980469,170550
2012-03-01,STYRENIX,487.970522624446,624.4338822944026,473.5874949985637,534.27685546875,166582
2012-04-01,STYRENIX,554.2727804074651,613.2081140204108,498.1088192611456,513.1583862304688,106038
2012-05-01,STYRENIX,515.821893918441,588.2866161374203,477.45612595862843,508.8398742675781,44995
2012-06-01,STYRENIX,518.1492353769356,543.0446503488191,490.2917500668338,519.6302490234375,23608
2012-07-01,STYRENIX,518.0786731014808,528.9395830923968,451.3617775721786,455.2054138183594,14457
2012-08-01,STYRENIX,465.4668247159652,550.0971564825044,442.6871690245143,455.6285400390625,15480
2012-09-01,STYRENIX,457.67378752687495,475.93980819635254,413.03129639711045,445.7902526855469,14590
2012-10-01,STYRENIX,440.7829666284867,475.0935299689327,433.83624429250636,459.01373291015625,19978
2012-11-01,STYRENIX,457.35630554623185,500.69408589901315,440.11287107658177,492.19580078125,60144
2012-12-01,STYRENIX,490.1505935256546,539.5182792044975,479.81862494764295,521.886962890625,53519
2013-01-01,STYRENIX,535.8510227983618,543.7851161167789,462.43422984336024,471.4614562988281,41750
2013-02-01,STYRENIX,468.9930817587032,478.86662032204435,391.1684575150243,434.92938232421875,84750
2013-03-01,STYRENIX,440.78288142890136,514.8344055089568,387.8889356574332,390.0399475097656,25711
2013-04-01,STYRENIX,387.8889904969121,416.0990988966875,295.50088548764757,346.77276611328125,33313
2013-05-01,STYRENIX,349.24355028299675,390.5817206817785,299.7016812012805,305.27734375,361383
2013-06-01,STYRENIX,305.4194307330136,312.5222081919209,249.44955302720678,280.59521484375,55430
2013-07-01,STYRENIX,281.41200161717586,301.8679883957289,252.14855501290296,265.53729248046875,128463
2013-08-01,STYRENIX,263.54856758686986,309.3259802183904,239.36361729873147,243.9804229736328,35452
2013-09-01,STYRENIX,248.59717427854744,311.06610145692383,232.47386316210032,267.9522399902344,25126
2013-10-01,STYRENIX,267.8101981327252,285.5316354193055,262.83825423238903,273.20831298828125,28489
2013-11-01,STYRENIX,266.38962482665363,299.52409464745045,266.38962482665363,293.2026062011719,68107
2013-12-01,STYRENIX,291.2138734499982,304.70915051231515,274.1672076870715,298.2101135253906,106156
2014-01-01,STYRENIX,299.0269425967204,308.2605536507759,280.5597204886094,285.3540954589844,84458
2014-02-01,STYRENIX,285.5316567341819,291.2138787587428,278.8195232972867,284.1466064453125,99930
2014-03-01,STYRENIX,285.5316151766056,348.0360483495939,284.1465650893227,330.8473205566406,315410
