date,open,high,low,close,rsi
2010-01-31,290.79002229074536,323.9546578364861,271.17188471420116,290.965519702181,100.0
2010-02-28,290.4798166534587,316.1716927743466,273.8386149259135,288.90284035307303,0.0
2010-03-31,288.85346183859656,330.41056352535094,273.29780873064277,305.1099494949301,90.06569145059069
2010-04-30,306.13242692654586,336.47485000653074,291.58016922937355,314.378554838769,93.76891432587722
2010-05-31,313.80960282895865,338.38172445286637,290.9856521184747,313.62740515648056,90.61041822486689
2010-06-30,313.56714799680805,348.8994215487702,297.45211879540693,326.92167027960437,94.43702752618938
2010-07-31,326.10717610962723,356.20064178751306,308.4846360029592,328.27970140284697,94.69199931947075
2010-08-31,330.2505282126418,366.5472897725694,314.3578435938574,336.83396334090145,96.01837444978251
2010-09-30,337.27282122012537,384.3288717624589,324.4036930500485,354.5782239563924,97.5084929151476
2010-10-31,355.48717945156386,389.0609957086386,339.523971221827,362.8236250623744,97.92488649532744
2010-11-30,364.52972019996065,389.41570701371114,321.3496228232321,344.9757757694163,69.08714922414512
2010-12-31,344.8315210372611,369.3071581280197,316.44585193364736,337.36111188442135,60.33965469962073
2011-01-31,338.01848754623165,363.5101394477465,300.1405862004775,317.25964097012866,43.54559640647942
2011-02-28,317.9596750969325,337.93442472609587,291.2058416162765,310.69337634076476,39.411210079619856
2011-03-31,311.41321766378366,351.5089211992128,294.868718263594,326.6661661660419,52.159984270059105
2011-04-30,325.80083796450015,363.4195639862458,310.60767136131886,338.46800825697323,59.43657142129392
2011-05-31,338.34593591421185,360.0353633180979,314.6472509377735,336.87763731530384,58.06336704975823
2011-06-30,338.032722128368,359.0864986986503,313.9713978607219,335.80260420606487,57.03559054504494
2011-07-31,337.4973508977776,378.07690727185394,323.64123006379396,347.69198722027716,64.95225047805549
2011-08-31,348.78945257039135,370.1012019751773,315.325431828066,338.4884654866888,55.77313504932919
2011-09-30,338.2107354535683,367.91674020793687,320.69516995878666,337.2042208047625,54.5323334344058
2011-10-31,336.4831640126305,360.31829743068937,319.3218731124728,340.49605251626775,57.33933508740807
2011-11-30,340.05855143051787,363.809102464371,315.81251322350386,337.7589339728052,54.133020357261394
2011-12-31,339.56123159650843,365.18449064005057,311.6072127497079,332.9503344373501,48.62168984439027
2012-01-31,333.0279377893498,372.41863200687584,318.67191262144536,355.00666649544496,66.61222987126078
2012-02-29,355.0484692555566,409.93005683382285,340.2228809170562,384.72847262088305,78.38203031568936
2012-03-31,384.4324038624479,426.2100796340426,362.8044821195164,390.69250906528316,80.01333476772031
2012-04-30,389.6353946109902,437.7210939958027,374.2379560316529,415.2155005373855,85.28244112555252
2012-05-31,414.94050476014496,437.97150344476324,376.53589063979194,404.0518417586672,74.90923512449312
2012-06-30,402.32887679311654,429.5339582997861,376.5600458052651,399.7886022202513,71.0986154024657
2012-07-31,400.3297394577677,426.8799150119549,375.0379918159217,392.37766698319876,64.51585710301899
2012-08-31,392.4899375019866,430.9628481402862,373.2382529819942,394.1558022093265,65.40266407513676
2012-09-30,395.43358956354393,424.3468167243113,377.6637819528764,401.13429416747806,68.92004834729255
2012-10-31,403.3242611328206,425.2592298859409,378.211550856073,400.1021941722708,67.7447160082092
2012-11-30,399.6796665013192,429.86927659485235,378.28618431244445,409.13647797513534,72.48407018817758
2012-12-31,409.0606028029537,452.7798330456827,392.3776199128516,433.6806425388823,81.16117083416299
2013-01-31,434.7406651140209,462.72256992535813,411.99008006835277,431.5854539287852,78.71618003382073
2013-02-28,431.9917283539236,452.06732622610593,388.66804195447787,404.6703343163146,54.41727079206551
2013-03-31,404.6699865113085,443.2277365455857,379.19422091460893,409.9486592450042,57.393371685025755
2013-04-30,412.64815763899173,453.2855117789314,385.46106136957627,424.88602901519613,64.88058939683117
2013-05-31,424.520479505038,472.315482031726,408.7687387807778,445.8477541005358,72.65994290276176
2013-06-30,443.78415422194183,473.4618085623697,396.83774270117067,423.8543154787512,57.29510928177619
2013-07-31,422.3074532208714,461.9017315078704,395.0878989413478,425.49936917741246,58.06051335655395
2013-08-31,427.4122225220238,453.97553511614166,389.6329434589082,412.7040802823737,50.015357591995254
2013-09-30,413.5370127119864,449.85947907284344,396.2985099904982,428.4216963128841,58.22073982549653
2013-10-31,426.57412012768054,475.2825177702483,409.7717209786378,453.51206520516826,67.92045026054454
2013-11-30,454.360379625122,498.799135135353,435.1761825503386,472.2914003590321,73.27822448408165
2013-12-31,473.3343605671736,552.5552401803966,456.25295089269787,513.4933952524309,81.21897270811161
2014-01-31,514.7700305051573,542.9003771669148,476.8965476487379,501.1938271839568,73.67758891622312
2014-02-28,501.4352756418965,535.0815427592782,477.3025507510655,504.0713486037356,74.32123090030096
2014-03-31,503.85826720397654,582.7465048911039,487.1628171054526,556.3533883627426,83.02371475347508
2014-04-30,555.2539705709829,623.6814848903763,512.1874445887405,543.4365920132781,75.70947096494854
2014-05-31,543.0711059607173,634.5573452364449,526.4971588570905,599.0279979578992,83.10212184123486
2014-06-30,598.3463739118922,676.9022223405814,576.5608541409814,643.2477714787138,86.79163489493952
2014-07-31,645.2757745344547,689.5462452951352,589.5314876525814,641.3956927340081,85.88538703412827
2014-08-31,640.2866631102771,701.3788731606513,619.5342915764508,674.1901154416676,88.3670718349351
