,date,symbol,open,high,low,close,volume,rsi
0,2010-01-01,PNB,144.95766834308816,153.36576759962549,135.74311187444206,143.5124053955078,35694755,
1,2010-02-01,PNB,141.33251831753302,147.23335009213216,134.94460788510216,143.88768005371094,28759320,
2,2010-03-01,PNB,145.52910472789043,164.42689851625266,145.367587650649,163.57891845703125,28183700,
3,2010-04-01,PNB,163.81315379759613,170.65350894294713,155.71294790977075,167.89959716796875,29397185,
4,2010-05-01,PNB,161.51955621200904,184.9398918627504,145.36760059080814,161.92335510253906,31482335,
5,2010-06-01,PNB,160.7119591626817,172.64825343525877,158.50722066077938,169.42593383789062,28664585,
6,2010-07-01,PNB,168.7879356138817,177.34847699046998,162.37560728443606,172.8986053466797,49387075,
7,2010-08-01,PNB,176.1086689458947,200.2051698124556,175.479705941874,192.81285095214844,29168480,
8,2010-09-01,PNB,194.4056663059243,216.86850590009624,192.1593823465071,211.2650604248047,28426115,
9,2010-10-01,PNB,211.64895993539093,222.17791809264668,206.65813704941036,210.87298583984372,34709290,
10,2010-11-01,PNB,212.8660618307256,228.6962430319718,183.99109479807524,199.0779571533203,43049310,
11,2010-12-01,PNB,199.30664984786787,210.57890122064688,188.7041930302636,199.6333770751953,27375565,
12,2011-01-01,PNB,201.7571834053398,202.0839107006192,174.0584513076396,180.4297332763672,28063310,
13,2011-02-01,PNB,181.4997383089612,186.07399418779195,158.51412806871804,173.4947967529297,28193200,
14,2011-03-01,PNB,173.9849327160614,200.94034482700047,169.5577119801688,198.11410522460935,29319470,69.06410030602702
15,2011-04-01,PNB,198.48985327884668,201.75717596656432,191.6284806201784,193.60520935058597,21717060,66.79911320345168
16,2011-05-01,PNB,193.58887519646763,193.58887519646763,164.509697396607,179.6374053955078,32662755,60.21139966764644
17,2011-06-01,PNB,179.7925811025707,181.0504947231544,168.92056797780248,177.94654846191406,18672240,59.447109683851586
18,2011-07-01,PNB,182.42888424587824,200.43830917533091,180.4278285499473,187.41482543945312,24203210,62.33059028867084
19,2011-08-01,PNB,189.43257393127809,190.9083506465305,150.17867407503084,155.00621032714844,36007915,49.38635501378625
20,2011-09-01,PNB,155.00621142532478,168.92183724513686,149.24485664344118,158.91659545898438,36485055,50.7162657992754
21,2011-10-01,PNB,155.91499178174516,168.0713600473426,145.242733115322,162.79359436035156,28525250,52.06120555185595
22,2011-11-01,PNB,162.7936140053209,171.9233941669167,140.90714861408057,147.08538818359375,54990595,46.5217068798631
23,2011-12-01,PNB,150.9123837147607,157.41579285024787,125.53242057268471,130.2015380859375,38204865,41.42020486348921
24,2012-01-01,PNB,130.88523457270935,169.58884340547024,126.157759349323,156.9405517578125,45997255,50.64993011247556
25,2012-02-01,PNB,156.7488122938491,181.9370179948485,148.11095170323122,158.96664428710938,54351380,51.276369620463235
26,2012-03-01,PNB,159.40017587207765,172.59042614086255,149.82016470828472,154.2474822998047,42956115,49.6940788119356
27,2012-04-01,PNB,155.38139754020003,157.06561671740644,137.92224947632,141.76593017578125,32972360,45.679170448643234
28,2012-05-01,PNB,141.50747819978758,145.7430323076859,117.3114636322242,125.98268127441406,70328920,41.15155307969607
29,2012-06-01,PNB,126.68303084377952,136.404793248879,118.92063325973533,134.7872772216797,64866060,44.45878458645382
30,2012-07-01,PNB,140.34735252040895,149.7906815955768,121.34073831739644,124.61418914794922,68941550,41.553021159222396
31,2012-08-01,PNB,124.8112728458658,130.15849605770143,112.9771262923726,115.9506607055664,70097035,39.20311801714542
32,2012-09-01,PNB,116.37054323713988,146.9970674300674,113.80833001400084,144.0149688720703,85143255,49.2209963032658
33,2012-10-01,PNB,144.30634371991133,144.73480675123608,122.8746276002832,126.55083465576172,73497000,44.326223084681246
34,2012-11-01,PNB,126.48229091099866,134.8630266803773,124.25427793839349,134.52024841308594,41905325,46.92025321119679
35,2012-12-01,PNB,134.88015311579994,150.03061226303288,133.17487866904253,149.3279266357422,64792050,51.44699498932431
36,2013-01-01,PNB,150.76755792131408,157.67437917798438,141.42705696157446,156.3204345703125,110059340,53.46520059431785
37,2013-02-01,PNB,156.3033056442392,156.9888490965388,132.82353720146716,135.471435546875,61147905,47.16945619575838
38,2013-03-01,PNB,135.56569145518583,140.90433680827647,120.65518418972329,123.03743743896484,56914800,43.852920470315674
39,2013-04-01,PNB,123.74013109734936,136.49119642113567,116.8932995124612,131.60671997070312,54386540,46.637613957541376
40,2013-05-01,PNB,131.6067175906672,146.13161298677412,124.50279259790722,130.26133728027344,122922600,46.249779889993256
41,2013-06-01,PNB,131.07541000804795,134.30601169478336,108.50397520101411,111.54605865478516,63368035,41.12630650604449
42,2013-07-01,PNB,115.85619644003516,119.97995125939546,95.09522062781716,101.33417510986328,132355450,38.61279817503755
43,2013-08-01,PNB,103.09388743248736,103.44049564951456,74.83193971722292,76.40501403808594,136785255,33.26754937422462
44,2013-09-01,PNB,75.89842990256135,100.02773260569904,71.13478091738918,82.0218505859375,204078585,35.43622390020943
45,2013-10-01,PNB,82.51953822239105,97.70811397656584,81.24863928022387,96.76604461669922,189624210,40.8685950845584
46,2013-11-01,PNB,97.93919243038457,106.47110596162246,88.34079987856894,97.7436752319336,221385600,41.22174219958957
47,2013-12-01,PNB,98.11694403749075,114.6297359406128,97.61924478992626,111.35028839111328,145712935,46.05100410233028
