Date,Symbol,Open,High,Low,Close,Volume
2020-01-01,TATAMOTORS,184.00690606168922,200.45473191777907,173.82018799899893,175.50970458984375,886712613
2020-02-01,TATAMOTORS,174.31708788440903,183.80812995509527,126.26560614795784,128.15386962890625,1055369812
2020-03-01,TATAMOTORS,132.17886371099317,133.07330108380623,63.107953726677195,70.61134338378906,1625401538
2020-04-01,TATAMOTORS,70.06474161020233,93.17119894973713,64.39993574697495,92.67428588867188,1172889811
2020-05-01,TATAMOTORS,92.67428882642724,92.67428882642724,79.10856031285647,86.46287536621094,1137152288
2020-06-01,TATAMOTORS,88.3511376478419,118.41437575778967,87.45669268348442,97.6434097290039,2061553847
2020-07-01,TATAMOTORS,98.38878708667582,111.90482096798306,97.59372314800825,104.00390625,1236331449
2020-08-01,TATAMOTORS,102.36408323925345,147.03656119278793,102.264702150625,142.31588745117188,1866004733
2020-09-01,TATAMOTORS,142.51465463101854,154.24180547580988,121.39585789107767,132.47702026367188,1583849546
2020-10-01,TATAMOTORS,135.0609745802923,144.89986306386007,125.22210126130892,131.83103942871094,1287524170
2020-11-01,TATAMOTORS,132.82485112256654,182.7149330698531,130.2906067197739,179.23654174804688,1284628508
2020-12-01,TATAMOTORS,181.22419614659975,187.63437148506208,155.73254747794783,182.71493530273438,1191039967
2021-01-01,TATAMOTORS,183.8081316263844,305.0052198165106,183.36091292047053,261.078125,3110819324
2021-02-01,TATAMOTORS,268.08458639351693,339.78913235101015,253.77349683723082,320.9561462402344,2011804897
2021-03-01,TATAMOTORS,327.96261485298066,354.7959197045882,280.50741830986,299.93670654296875,1453844779
2021-04-01,TATAMOTORS,304.85614737315683,322.9934731744938,278.8178921732702,292.0357971191406,1147880867
2021-05-01,TATAMOTORS,287.5138827729751,334.5715553570758,283.2404426125919,316.7820739746094,1050745318
2021-06-01,TATAMOTORS,317.22931012044495,358.52277333788163,313.65153001714424,337.50335693359375,709228073
2021-07-01,TATAMOTORS,339.3916115751471,355.9885194998001,281.8490867179904,292.13519287109375,916621826
2021-08-01,TATAMOTORS,297.3030912401005,309.57685044559065,266.79264616736145,285.5262451171875,504374201
2021-09-01,TATAMOTORS,287.2157382630916,335.8138277026744,285.5262217887015,331.29193115234375,547130332
2021-10-01,TATAMOTORS,330.59623742039616,526.7278191724077,323.6891644042191,480.71368408203125,1344147576
2021-11-01,TATAMOTORS,483.44674099802796,533.3865048494714,440.3643714902031,455.7686767578125,676681297
2021-12-01,TATAMOTORS,464.96156425075355,503.27354969956923,437.283500270097,479.4217224121094,433230539
2022-01-01,TATAMOTORS,490.45318370691996,525.2370974449994,464.76277278024816,514.553466796875,431279282
2022-02-01,TATAMOTORS,504.86366556416687,511.5719918290451,402.9468097753504,451.2467346191406,492777210
2022-03-01,TATAMOTORS,451.24674076284214,455.66927915897423,374.0264689043937,431.07208251953125,670781175
2022-04-01,TATAMOTORS,431.32053533800905,459.84335706460837,414.4254913270732,434.8983154296875,335633541
2022-05-01,TATAMOTORS,435.2461520655851,446.7248313741215,363.93912948250784,440.8115539550781,471123560
