Date,Symbol,Open,High,Low,Close,Volume
2022-12-01,ASIANHOTNR,90.55000305175781,93.30000305175781,71.19999694824219,80.3499984741211,235451
2023-01-01,ASIANHOTNR,81.5,85.0,74.19999694824219,76.80000305175781,299335
2023-02-01,ASIANHOTNR,77.30000305175781,81.69999694824219,69.1500015258789,72.30000305175781,181040
2023-03-01,ASIANHOTNR,72.94999694824219,113.30000305175781,66.5999984741211,113.30000305175781,1117429
2023-04-01,ASIANHOTNR,124.5999984741211,174.8000030517578,124.5999984741211,139.6999969482422,642998
2023-05-01,ASIANHOTNR,139.6999969482422,169.35000610351562,136.25,166.9499969482422,166831
2023-06-01,ASIANHOTNR,165.4499969482422,208.85000610351562,165.3000030517578,179.9499969482422,108686
2023-07-01,ASIANHOTNR,178.0,178.0,148.6999969482422,155.0,42446
2023-08-01,ASIANHOTNR,154.0,159.0,140.0,154.5,550239
2023-09-01,ASIANHOTNR,151.6999969482422,162.0,135.0,142.8000030517578,582052
2023-10-01,ASIANHOTNR,142.8000030517578,176.0,128.8000030517578,166.0,1184186
2023-11-01,ASIANHOTNR,174.3000030517578,233.60000610351562,174.3000030517578,229.64999389648438,173937
2023-12-01,ASIANHOTNR,229.64999389648438,238.9499969482422,210.0,230.3000030517578,47061
2024-01-01,ASIANHOTNR,230.3000030517578,230.3000030517578,181.0,184.0,62271
2024-02-01,ASIANHOTNR,184.0,185.0,130.0,130.25,307638
2024-03-01,ASIANHOTNR,130.4499969482422,135.1999969482422,108.8499984741211,132.0,506826
2024-04-01,ASIANHOTNR,134.60000610351562,153.3000030517578,134.60000610351562,145.0500030517578,319288
2024-05-01,ASIANHOTNR,145.0500030517578,146.39999389648438,134.1999969482422,138.0500030517578,91128
2024-06-01,ASIANHOTNR,140.0,144.5500030517578,130.10000610351562,138.1699981689453,29386
2024-07-01,ASIANHOTNR,140.8000030517578,213.1199951171875,136.0,201.07000732421875,206179
2024-08-01,ASIANHOTNR,201.0,209.89999389648438,164.32000732421875,185.25,106311
2024-09-01,ASIANHOTNR,177.6999969482422,196.8699951171875,165.39999389648438,196.8699951171875,54318
2024-10-01,ASIANHOTNR,206.7100067138672,236.8000030517578,173.0,195.50999450683594,197504
2024-11-01,ASIANHOTNR,196.39999389648438,210.0,182.0,200.0399932861328,70466
2024-12-01,ASIANHOTNR,207.38999938964844,320.5,185.64999389648438,320.5,391831
2025-01-01,ASIANHOTNR,334.0,353.29998779296875,267.6499938964844,300.54998779296875,174908
