Date,Symbol,Open,High,Low,Close,Volume
2020-01-01,AMBIKCO,798.7019614161668,799.8718032114809,745.0712508368659,756.8591918945312,154577
2020-02-01,AMBIKCO,760.1436331274236,775.9808741867294,699.2241501539716,707.2327880859375,77283
2020-03-01,AMBIKCO,706.4228560713042,739.6271373795121,350.9393263508515,475.0728759765625,148783
2020-04-01,AMBIKCO,484.02636490060115,693.7800899802436,463.5098669401206,624.4920654296875,71409
2020-05-01,AMBIKCO,624.4920545057632,629.8911212594154,566.6320667802206,580.714599609375,50197
2020-06-01,AMBIKCO,583.6390777542504,690.0907182032893,571.4012154242583,611.7592163085938,105638
2020-07-01,AMBIKCO,614.098902715935,627.7315142197217,575.9004919161302,590.7929077148438,92133
2020-08-01,AMBIKCO,625.3918687441975,697.3794219809397,579.4998035557744,615.3585815429688,455056
2020-09-01,AMBIKCO,607.5749626437928,661.2956854381507,545.3956803426653,595.4270629882812,210769
2020-10-01,AMBIKCO,607.9003449577801,670.7136371513624,607.9003449577801,642.8477172851562,222963
2020-11-01,AMBIKCO,658.482110566095,672.2771268489042,626.7535731156337,663.540283203125,261884
2020-12-01,AMBIKCO,663.5403194447432,825.6777417846612,655.7691152878957,777.4871826171875,856700
2021-01-01,AMBIKCO,790.8682675174263,1103.509320346409,775.463833198135,913.6898803710938,1038595
2021-02-01,AMBIKCO,913.6898757947596,989.4244897502872,864.4876529915189,895.2505493164062,418718
2021-03-01,AMBIKCO,917.8283920330923,973.9281234098645,811.1469356444763,818.964111328125,504852
2021-04-01,AMBIKCO,827.7468947389951,868.074356701753,778.084839384146,828.4366455078125,247946
2021-05-01,AMBIKCO,809.3077314024921,1125.673480950739,805.8589768652656,1033.10888671875,1142842
2021-06-01,AMBIKCO,1053.0195457276063,1217.6400685968129,999.5868733273539,1085.5758056640625,1505194
2021-07-01,AMBIKCO,1088.8865636957516,1486.1830126117693,1072.700434526072,1444.843994140625,1609626
2021-08-01,AMBIKCO,1498.1388715251248,1593.3244904341798,1209.3631774435476,1401.02197265625,1414194
2021-09-01,AMBIKCO,1402.4933768293292,1708.926638913533,1352.8313162727497,1675.3587646484375,1211011
2021-10-01,AMBIKCO,1709.3491123208203,2064.7583336944563,1673.808144273494,1949.3443603515625,1364573
2021-11-01,AMBIKCO,1950.9898636058829,2200.1524245001283,1635.164541766459,1761.3912353515625,722940
2021-12-01,AMBIKCO,1772.3449584078198,2054.415774069542,1617.911186833027,1820.2969970703125,387013
2022-01-01,AMBIKCO,1826.8786704252987,2134.335863029042,1806.193477039114,1849.4443359375,451964
2022-02-01,AMBIKCO,1864.0179233228391,2660.8679561178483,1843.8028487445586,2362.343017578125,2131615
2022-03-01,AMBIKCO,2362.343097973818,2512.2636916546703,2117.6937213592896,2215.478271484375,706751
2022-04-01,AMBIKCO,2227.4191773140474,2396.520720818199,2022.447720727107,2110.68896484375,642102
2022-05-01,AMBIKCO,2112.710457470833,2128.694470722726,1617.2060466621415,1712.7340087890625,468413
2022-06-01,AMBIKCO,1715.9307753292685,1833.4602804888075,1245.8127546911128,1474.0550537109375,799341
2022-07-01,AMBIKCO,1458.3061908780421,1670.7995494457002,1419.7094530689508,1640.3829345703125,348726
2022-08-01,AMBIKCO,1632.2498367618798,1758.24147162714,1551.389533788653,1681.8472900390625,461012
2022-09-01,AMBIKCO,1678.3214362788226,1775.1657544506538,1487.4535082314271,1527.9776611328125,345655
2022-10-01,AMBIKCO,1558.2285357506391,1658.236728973072,1486.1229966678384,1552.2357177734375,264097
2022-11-01,AMBIKCO,1567.7691152664336,1600.3220545175695,1410.5175772551204,1474.8564453125,265762
2022-12-01,AMBIKCO,1493.8896311529877,1570.549710143265,1309.3588310428704,1438.180419921875,310469
2023-01-01,AMBIKCO,1447.7689649452052,1545.5237651953726,1437.9886157555707,1502.087890625,194618
2023-02-01,AMBIKCO,1521.2649106069514,1521.2649106069514,1332.850712671586,1384.29296875,177565
2023-03-01,AMBIKCO,1384.2451227153629,1433.3862312523547,1260.1218037043213,1322.5430908203125,196609
2023-04-01,AMBIKCO,1343.350005197116,1505.3957945463756,1313.5776402758938,1465.0281982421875,156677
2023-05-01,AMBIKCO,1465.0282470900186,1534.1613704358388,1389.3748911009563,1403.853515625,299002
2023-06-01,AMBIKCO,1413.346174594961,1657.8531450981598,1395.1280081653108,1552.6192626953125,418687
2023-07-01,AMBIKCO,1567.7211158623338,1589.534972367452,1463.3022364789397,1487.4173583984375,247587
2023-08-01,AMBIKCO,1495.8074322360096,1591.6925240460102,1352.027783885806,1566.2349853515625,557534
2023-09-01,AMBIKCO,1581.145115419342,1677.7973318163226,1427.9686859540661,1449.5908203125,426367
2023-10-01,AMBIKCO,1481.8921803788746,1586.9714000162458,1441.8992769758477,1492.2333984375,211694
2023-11-01,AMBIKCO,1490.9591468002902,1661.4678496434253,1470.3255306578985,1622.3082275390625,379766
2023-12-01,AMBIKCO,1631.0811360641871,1832.2706812427775,1597.7537570821064,1684.159912109375,471356
2024-01-01,AMBIKCO,1684.1598767349383,1847.709060638055,1657.5960197411946,1709.6944580078125,385032
2024-02-01,AMBIKCO,1729.985027091898,1774.290788138385,1558.6921043753966,1614.17236328125,351161
2024-03-01,AMBIKCO,1629.7579294400482,1649.1661555622286,1358.2378020374174,1386.321044921875,293015
2024-04-01,AMBIKCO,1399.749891335571,1595.2051872080458,1399.749891335571,1519.5814208984375,166587
2024-05-01,AMBIKCO,1519.5814618837812,1610.4965920819561,1438.9586105759656,1472.6781005859375,184097
2024-06-01,AMBIKCO,1481.8921602949022,1640.8833153938422,1387.0071035139108,1551.095458984375,277027
2024-07-01,AMBIKCO,1565.4556843772118,2114.230055115862,1559.5253233746262,2088.842529296875,1026889
2024-08-01,AMBIKCO,2154.173951972783,2154.173951972783,1568.3963734907902,1673.0345458984375,958745
2024-09-01,AMBIKCO,1676.171161341487,1832.025672834643,1638.334807010707,1654.8514404296875,429811
2024-10-01,AMBIKCO,1696.5,1710.0,1500.699951171875,1581.75,227100
2024-11-01,AMBIKCO,1571.5,1624.0,1420.050048828125,1505.75,182300
2024-12-01,AMBIKCO,1519.9000244140625,1797.0,1502.050048828125,1618.5999755859375,412562
2025-01-01,AMBIKCO,1627.0,1769.9000244140625,1462.449951171875,1488.4000244140625,201336
