,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
56,56,2014-09-01,MMTC,47.98273134040118,50.15649909405685,38.23274130842827,40.630279541015625,30465341,25.449732645262852
57,57,2014-10-01,MMTC,40.80829592049432,45.03646875793949,39.11061982430976,43.94739532470703,18038640,26.36244307267468
58,58,2014-11-01,MMTC,44.01145517418429,46.54195544139274,38.373890480425366,38.5340461730957,18982544,25.807160402340735
59,59,2014-12-01,MMTC,38.95045668065335,40.52000439772095,31.3909909986388,36.29183197021485,35816145,25.566943797173497
60,60,2015-01-01,MMTC,36.22776860528315,40.87235300800664,35.71525942835889,36.932464599609375,26287705,25.779514414763465
61,61,2015-02-01,MMTC,37.02856325492953,40.42391549698875,34.43400052936229,37.124656677246094,22072735,25.84793263249397
62,62,2015-03-01,MMTC,36.93246671299131,38.43795219649294,29.469096073023124,31.070676803588867,20223770,25.06415790112544
63,63,2015-04-01,MMTC,31.26286997663657,36.0996455537287,30.01363715634937,30.68630027770996,15946905,25.012299439212548
64,64,2015-05-01,MMTC,30.68629969181614,34.59415928071518,29.693319682707628,31.006616592407227,16127111,25.15128118739815
65,65,2015-06-01,MMTC,30.81442719545623,37.02856392700483,26.55422124517258,32.896484375,39300910,26.02245476617007
66,66,2015-07-01,MMTC,32.99257598599159,34.40196812247162,28.380022235702647,30.30191993713379,26518178,25.582228031463615
67,67,2015-08-01,MMTC,30.430046237584488,33.56914739570582,24.376069229284035,26.81047248840332,22013631,24.970056116343926
68,68,2015-09-01,MMTC,26.7464105355094,28.828467762487698,25.04873434498929,26.682348251342773,10771254,24.94646467315986
69,69,2015-10-01,MMTC,27.32926126305289,31.454432565691587,26.523563080284493,28.457237243652344,12955345,25.98962765489654
70,70,2015-11-01,MMTC,28.489462795131075,30.90655534157912,26.52356134911207,29.19847869873047,13095172,26.449397448568092
71,71,2015-12-01,MMTC,29.32738797243077,33.71038191083529,26.94252470835493,30.842100143432617,19142828,27.52453892306026
72,72,2016-01-01,MMTC,30.80987053033996,33.452556561210834,24.39651896805719,26.16905212402344,13759191,26.345393945021563
73,73,2016-02-01,MMTC,26.49133673214716,26.94252788012678,19.240058328598,19.852388381958008,10817647,24.79888811900209
74,74,2016-03-01,MMTC,20.01352740279368,26.00791592551352,19.53010888431166,24.138696670532227,16012983,27.89210253011
75,75,2016-04-01,MMTC,24.07424120396801,27.103663715354944,23.751961585617824,25.20221710205078,11678314,28.676016619423827
76,76,2016-05-01,MMTC,25.20221775192806,25.717865523404164,22.75289775277394,22.88180923461914,6680981,27.96176153561909
77,77,2016-06-01,MMTC,22.91404056230905,30.584280880734926,22.881811305858925,28.779518127441406,54693304,32.559645903622716
78,78,2016-07-01,MMTC,28.97288216445589,31.90562256020526,28.58614771436337,28.940654754638672,29006921,32.686060025363226
79,79,2016-08-01,MMTC,28.940653895560114,30.87432793271855,26.97475244954111,29.19847869873047,16634306,32.902777511700485
80,80,2016-09-01,MMTC,29.295163711822177,31.454433504581484,27.715996554207905,28.425010681152344,20132853,32.564064912457034
81,81,2016-10-01,MMTC,28.906071547420225,31.533896908590098,28.581648136210006,30.52818489074707,13859454,34.53743869813315
82,82,2016-11-01,MMTC,30.26864713174366,35.81627581003848,24.785900165998992,29.782012939453125,37877921,34.15555799704942
83,83,2016-12-01,MMTC,29.78201344549679,36.821986604739664,29.652242592742983,34.25904846191406,84126423,38.546149074542754
84,84,2017-01-01,MMTC,34.29148785821373,47.94968630746408,33.869737257047944,40.71505737304688,186681864,44.312726026391594
85,85,2017-02-01,MMTC,40.68261533687646,44.121496264827975,40.55284449397073,40.87726974487305,34874661,44.45376144144599
86,86,2017-03-01,MMTC,40.94215607380675,42.82380929025663,37.63304205265176,40.19598388671875,38736552,43.95030236754867
87,87,2017-04-01,MMTC,40.48796219829848,46.06803436371627,40.22842421707375,42.72648239135742,37624526,46.37942007038628
88,88,2017-05-01,MMTC,42.72648308260342,45.289421152752325,35.68650455390529,36.46512222290039,27426093,41.577836851463324
89,89,2017-06-01,MMTC,36.3677893866523,42.07763189932224,35.75138812746223,36.85442352294922,41028386,41.98003352203201
90,90,2017-07-01,MMTC,36.91931470949593,42.95357566885533,36.91931470949593,39.741790771484375,33373424,45.00410444088887
91,91,2017-08-01,MMTC,39.61201813996606,40.520399108643375,34.71323144396701,37.11396026611328,16593939,42.816802505483274
92,92,2017-09-01,MMTC,37.17885198016925,41.72076850438057,35.881158362345325,36.400238037109375,26140311,42.21665638418463
93,93,2017-10-01,MMTC,36.58595396015456,43.95531643733365,36.5533429252703,41.3466911315918,43870279,47.689134493399926
94,94,2017-11-01,MMTC,41.607554712732096,66.32427202743774,41.57494740839873,48.81388092041016,259564882,54.668687862240475
95,95,2017-12-01,MMTC,49.139957601189394,50.34644651754464,44.37921654431012,47.803035736083984,75317867,53.625602027351604
96,96,2018-01-01,MMTC,47.9986819985836,48.58562092295939,39.12936113616417,40.00977325439453,62635528,46.292155327246384
97,97,2018-02-01,MMTC,40.107594798248144,40.7271410203566,32.54258479890649,33.94472122192383,32284997,41.53202369169047
98,98,2018-03-01,MMTC,33.97733058419166,45.97700170147175,29.67309914500416,36.22726821899414,116310759,43.87122193618257
99,99,2018-04-01,MMTC,36.52073691442969,45.97700071716898,36.35769666090541,42.42274856567383,83079617,49.74803594436729
100,100,2018-05-01,MMTC,42.42274983918577,45.977002097377984,32.086077313113385,34.38492965698242,26276160,43.39930336663137
101,101,2018-06-01,MMTC,34.531661332652824,39.37392064247008,30.27634469377308,32.81975173950195,46194187,42.268116971493825
102,102,2018-07-01,MMTC,33.16213872170217,34.825133768503015,29.933964951587985,33.113224029541016,27311075,42.570373353868234
103,103,2018-08-01,MMTC,33.25995760185774,34.384928248704924,30.56981397229572,31.54804801940918,22580044,41.327631184431056
104,104,2018-09-01,MMTC,31.54804674219954,34.97186576848476,26.069935926976523,26.705787658691406,23851515,37.66432358980658
105,105,2018-10-01,MMTC,26.825324047524457,32.338049689136966,23.675193500068445,28.154285430908203,36586704,39.39492186519505
106,106,2018-11-01,MMTC,28.20350646972656,31.796623022130863,27.76052057778901,28.20350646972656,21482467,39.456431794842636
107,107,2018-12-01,MMTC,28.40039053634634,30.91064957420828,25.299481760862843,30.418441772460938,30089387,42.294659132445254
108,108,2019-01-01,MMTC,30.51688270925361,30.861428534721536,25.594804852922383,26.33311653137207,15261763,38.691791701494196
109,109,2019-02-01,MMTC,26.48077830163192,28.20350553899341,23.47831158185136,24.85649299621582,14645311,37.450017562401314
110,110,2019-03-01,MMTC,25.102597781590053,29.384806013974284,25.102597781590053,27.56363677978516,25265363,41.177321325144725
111,111,2019-04-01,MMTC,27.85896025592619,29.138701640771384,25.545585137304567,25.89012908935547,16395013,39.60612302457781
