,symbol,name of company,macro sector,sector,industry,basic industry,market cap
748,HINDMOTORS,Hindustan Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,514.35
1078,M&M,Mahindra & Mahindra Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,357551.84
733,HEROMOTOCO,Hero MotoCorp Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,80639.81
503,EICHERMOT,Eicher Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,139821.26
210,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,234890.56
722,HDFCBANK,HDFC Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,1279792.64
1388,PNB,Punjab National Bank,Financial Services,Financial Services,Banks,Public Sector Bank,114906.45
233,BANDHANBNK,Bandhan Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,24330.5
1944,UTKARSHBNK,Utkarsh Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,3137.32
237,BANKINDIA,Bank of India,Financial Services,Financial Services,Banks,Public Sector Bank,49769.77
236,BANKBARODA,Bank of Baroda,Financial Services,Financial Services,Banks,Public Sector Bank,115011.09
1432,PSB,Punjab & Sind Bank,Financial Services,Financial Services,Banks,Public Sector Bank,31218.48
571,FINOPB,Fino Payments Bank Limited,Financial Services,Financial Services,Banks,Other Bank,2300.88
1917,UJJIVANSFB,Ujjivan Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,6190.61
886,J&KBANK,The Jammu & Kashmir Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,10505.28
1087,MAHABANK,Bank of Maharashtra,Financial Services,Financial Services,Banks,Public Sector Bank,38057.81
539,ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,1858.93
400,CSBBANK,CSB Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,5331.22
403,CUB,City Union Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,12312.22
536,EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,7428.94
1481,RBLBANK,RBL Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,9438.96
860,IOB,Indian Overseas Bank,Financial Services,Financial Services,Banks,Public Sector Bank,93699.26
926,JSFB,Jana Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,4550.01
427,DCBBANK,DCB Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,3681.71
959,KARURVYSYA,Karur Vysya Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,18262.12
1910,UCOBANK,UCO Bank,Financial Services,Financial Services,Banks,Public Sector Bank,51051.94
1606,SBIN,State Bank of India,Financial Services,Financial Services,Banks,Public Sector Bank,671265.3
2045,YESBANK,Yes Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,57563.87
1713,SOUTHBANK,The South Indian Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,6838.99
452,DHANBANK,Dhanlaxmi Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,915.7
1000,KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,375168.37
1026,KTKBANK,The Karnataka Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,6989.49
1872,TMB,Tamilnad Mercantile Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,6809.11
841,INDUSINDBK,IndusInd Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,72895.87
561,FEDERALBNK,The Federal Bank  Limited,Financial Services,Financial Services,Banks,Private Sector Bank,45015.01
321,CANBK,Canara Bank,Financial Services,Financial Services,Banks,Public Sector Bank,83576.98
791,IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,42678.6
202,AXISBANK,Axis Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,304386.7
325,CAPITALSFB,Capital Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,1364.42
183,AUBANK,AU Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,43820.43
788,IDBI,IDBI Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,83761.21
345,CENTRALBK,Central Bank of India,Financial Services,Financial Services,Banks,Public Sector Bank,44871.78
1785,SURYODAY,Suryoday Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,1250.44
820,INDIANB,Indian Bank,Financial Services,Financial Services,Banks,Public Sector Bank,69368.65
1928,UNIONBANK,Union Bank of India,Financial Services,Financial Services,Banks,Public Sector Bank,84412.41
783,ICICIBANK,ICICI Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,880834.49
1930,UNITDSPR,United Spirits Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,101832.76
1613,SDBL,Som Distilleries & Breweries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,2025.93
1908,UBL,United Breweries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,53557.91
636,GLOBUSSPR,Globus Spirits Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,2298.07
154,ASALCBR,Associated Alcohols & Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,1950.75
638,GMBREW,GM Breweries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,1537.83
26,ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,10433.19
1757,SULA,Sula Vineyards Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,2868.24
794,IFBAGRO,IFB Agro Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,501.14
1858,TI,Tilaknagar Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,6927.25
1959,VBL,Varun Beverages Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages,182939.69
1451,RADICO,Radico Khaitan Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,28363.0
1512,RKDL,Ravi Kumar Distilleries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,63.62
1943,UTIAMC,UTI Asset Management Company Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company,13495.64
478,DOLATALGO,Dolat Algotech Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,1691.36
282,BIRLAMONEY,Aditya Birla Money Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,1038.07
1309,ONELIFECAP,Onelife Capital Advisors Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,20.33
523,EMKAY,Emkay Global Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,690.47
307,BSE,BSE Limited,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,69495.45
425,DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,150.5
614,GEOJITFSL,Geojit Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,2525.18
414,DAMCAPITAL,Dam Capital Advisors Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,2072.51
1222,NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company,36249.8
338,CDSL,Central Depository Services (India) Limited,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries,26407.15
1644,SHAREINDIA,Share India Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,5018.75
320,CAMS,Computer Age Management Services Limited,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries,18366.28
330,CARERATING,CARE Ratings Limited,Financial Services,Financial Services,Capital Markets,Ratings,3611.06
1189,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,38691.18
1292,NUVAMA,Nuvama Wealth Management Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,18655.55
859,INVENTURE,Inventure Growth & Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,197.4
793,IEX,Indian Energy Exchange Limited,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,14967.06
95,ALMONDZ,Almondz Global Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,505.33
109,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,14777.67
113,ANGELONE,Angel One Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,19764.46
881,IVC,IL&FS Investment Managers Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company,317.17
1430,PRUDENT,Prudent Corporate Advisory Services Limited,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,8239.93
1744,STEELCITY,Steel City Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,143.82
874,ISEC,ICICI Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,26912.55
138,ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,937.02
834,INDOTHAI,Indo Thai Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,1854.55
