,symbol,name of company,macro sector,sector,industry,basic industry,market cap
1732,SRPL,Shree Ram Proteins Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,48.84
190,AVADHSUGAR,Avadh Sugar & Energy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,816.75
1587,SANSTAR,Sanstar Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,1914.66
1929,UNIPARTS,Uniparts India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1543.8
366,CIEINDIA,CIE Automotive India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,17111.14
1773,SUPRAJIT,Suprajit Engineering Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,5369.85
745,HINDCOMPOS,Hindustan Composites Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,671.99
1939,URAVIDEF,Uravi Defence and Technology Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,424.6
339,CEATLTD,CEAT Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,11447.38
225,BALKRISIND,Balkrishna Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,52719.53
1458,RAJRATAN,Rajratan Global Wire Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2094.3
135,ARE&M,Amara Raja Energy & Mobility Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,18921.16
1766,SUNDRMFAST,Sundram Fasteners Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,20498.02
1164,MINDACORP,Minda Corporation Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,12874.43
1765,SUNDRMBRAK,Sundaram Brake Linings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,416.34
1684,SINTERCOM,Sintercom India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,384.56
1188,MOTHERSON,Samvardhana Motherson International Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,97452.69
165,ASKAUTOLTD,ASK Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,8278.02
1207,MUNJALAU,Munjal Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,855.0
1152,MENONBE,Menon Bearings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,594.02
188,AUTOAXLES,Automotive Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2590.19
153,ASAL,Automotive Stampings and Assemblies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,828.12
232,BANCOINDIA,Banco Products (I) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,5864.53
759,HITECHGEAR,The Hi-Tech Gears Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1363.3
643,GNA,GNA Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1609.05
151,ASAHIINDIA,Asahi India Glass Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,15071.58
1447,RACLGEAR,RACL Geartech Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,805.01
811,IMPAL,India Motor Parts and Accessories Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Trading - Auto Components,1413.98
826,INDNIPPON,India Nippon Electricals Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1357.29
1208,MUNJALSHOW,Munjal Showa Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,535.13
189,AUTOIND,Autoline Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,343.66
1937,UNOMINDA,UNO Minda Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,50879.04
798,IGARASHI,Igarashi Motors India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1916.83
1241,NDRAUTO,Ndr Auto Components Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1641.66
331,CARRARO,Carraro India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2899.43
588,GABRIEL,Gabriel India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,5714.16
1472,RANEENGINE,Rane Engine Valve Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,235.19
527,ENDURANCE,Endurance Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,27569.92
1578,SANDHAR,Sandhar Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2500.92
1414,PRECAM,Precision Camshafts Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2583.14
932,JTEKTINDIA,Jtekt India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3763.35
1072,LUMAXTECH,Lumax Auto Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3612.36
1071,LUMAXIND,Lumax Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1953.68
1199,MSUMI,Motherson Sumi Wiring India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,23798.82
129,APOLLOTYRE,Apollo Tyres Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,26928.28
1877,TOLINS,Tolins Tyres Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,619.1
1284,NRBBEARING,NRB Bearing Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2409.5
1306,OMAXAUTO,Omax Autos Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,200.89
1808,TALBROAUTO,Talbros Automotive Components Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1759.25
1175,MODIRUBBER,Modi Rubber Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,274.14
1496,REMSONSIND,Remsons Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,401.11
268,BHARATGEAR,Bharat Gears Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,130.47
1607,SCHAEFFLER,Schaeffler India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,48486.96
1734,SSWL,Steel Strips Wheels Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2959.69
1045,LGBBROSLTD,LG Balakrishnan & Bros Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3761.39
1507,RICOAUTO,Rico Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1110.01
1909,UCAL,UCAL LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,361.56
1194,MRF,MRF Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,47857.48
1406,PPAP,PPAP Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,273.79
1709,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,30814.11
1514,RKFORGE,Ramkrishna Forgings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,13489.82
1586,SANSERA,Sansera Engineering Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,7387.27
1516,RML,Rane (Madras) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1154.83
1518,ROLEXRINGS,Rolex Rings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,4711.36
1649,SHIVAMAUTO,Shivam Autotech Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,445.5
267,BHARATFORG,Bharat Forge Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,57753.11
1661,SHRIPISTON,Shriram Pistons & Rings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,8721.87
918,JKTYRE,JK Tyre & Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,8439.82
920,JMA,Jullundur Motor Agency (Delhi) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Trading - Auto Components,201.02
2055,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,19352.63
1761,SUNCLAY,Sundaram Clayton Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,4742.57
579,FMGOETZE,Federal-Mogul Goetze (India) Limited.,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1985.79
300,BOSCHLTD,Bosch Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,87279.35
1627,SETCO,Setco Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,220.18
1426,PRITIKAUTO,Pritika Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,361.33
1643,SHARDAMOTR,Sharda Motor Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,4822.53
1860,TIINDIA,Tube Investments of India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,60577.56
566,FIEMIND,Fiem Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3436.69
1689,SJS,S.J.S. Enterprises Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,2886.65
1171,MMFL,MM Forgings Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1952.99
552,EXIDEIND,Exide Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,29133.75
1747,STERTOOLS,Sterling Tools Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1629.92
892,JAMNAAUTO,Jamna Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3497.66
392,CRAFTSMAN,Craftsman Automation Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,10498.84
1018,KROSS,Kross Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1141.82
88,ALICON,Alicon Castalloy Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1455.43
1956,VARROC,Varroc Engineering Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,8410.89
468,DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1773.81
1480,RBL,Rane Brake Lining Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,597.52
1355,PAVNAIND,Pavna Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,579.81
1422,PRICOLLTD,Pricol Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,5795.47
2024,WHEELS,Wheels India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,1622.35
1754,SUBROS,Subros Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,3882.51
895,JAYBARMARU,Jay Bharat Maruti Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,814.04
1905,TVSSRICHAK,TVS Srichakra Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,2289.46
