,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
0,0,0,2018-09-01,CREDITACC,383.4593389147704,391.8924679724044,256.6151505041534,291.0917663574219,3509217,
1,1,1,2018-10-01,CREDITACC,283.74998206418815,317.8793444807463,240.14574833766773,311.876953125,1777576,
2,2,2,2018-11-01,CREDITACC,311.5296998932316,389.36253033742526,304.1382984057878,386.0388793945313,1459130,
3,3,3,2018-12-01,CREDITACC,386.93179016710496,396.6546794500516,353.24886965566475,380.2348937988281,1407088,
4,4,4,2019-01-01,CREDITACC,384.1538320332244,416.1501148134203,367.0891357727905,391.4459838867188,940285,
5,5,5,2019-02-01,CREDITACC,394.8688376359298,416.6957583092727,327.3045907688571,413.27288818359375,1064516,
6,6,6,2019-03-01,CREDITACC,408.75869799417165,520.8697001139323,408.75869799417165,500.034912109375,3429416,
7,7,7,2019-04-01,CREDITACC,501.0270732372746,563.432251729811,472.4536601814719,518.0421752929688,3733837,
8,8,8,2019-05-01,CREDITACC,518.042162036517,554.6022312330163,393.08302465933417,519.1334838867188,1868025,
9,9,9,2019-06-01,CREDITACC,523.5484576573866,594.2875097257692,501.07662693240985,515.0657348632812,1332082,
10,10,10,2019-07-01,CREDITACC,507.9720104811816,543.4407592598968,477.3151119978741,520.6217041015625,4219454,
11,11,11,2019-08-01,CREDITACC,522.8539529405276,582.0842895117687,478.05916587408063,555.5447387695312,2129867,
12,12,12,2019-09-01,CREDITACC,555.5447575049359,684.4724232706195,549.7903995413092,651.930419921875,1991288,
13,13,13,2019-10-01,CREDITACC,651.9304459634133,679.610975615588,597.5119854956027,633.1295776367188,3254043,
14,14,14,2019-11-01,CREDITACC,637.8917839440779,842.320731450792,630.004316220557,795.6904907226562,3407128,94.89760845914448
15,15,15,2019-12-01,CREDITACC,793.7062299571304,831.2088372116089,746.0838561597026,761.9083862304688,1893535,89.12742278071394
16,16,16,2020-01-01,CREDITACC,769.795842214279,875.4579824593861,731.2018531515864,794.4503173828125,3291982,89.77254695945646
17,17,17,2020-02-01,CREDITACC,788.249493355295,992.1327795535497,740.1310535469479,835.276611328125,3688243,90.53159451553896
18,18,18,2020-03-01,CREDITACC,867.1240886226473,896.4911960061812,334.6960144042969,334.6960144042969,4236942,45.72333218240857
19,19,19,2020-04-01,CREDITACC,323.43529008074506,488.12933349609375,302.79894012523954,488.12933349609375,2954968,53.34555004164282
20,20,20,2020-05-01,CREDITACC,488.1293343058597,508.76568429559927,355.08432066821587,386.0884704589844,2901444,48.47044157107545
21,21,21,2020-06-01,CREDITACC,396.803527478883,577.9669534536056,395.6129560018624,518.141357421875,3046859,54.29197032482173
22,22,22,2020-07-01,CREDITACC,525.334295547426,645.1343261184395,496.16559850737264,509.9562377929688,2127515,53.88560633633088
23,23,23,2020-08-01,CREDITACC,517.8933327414773,734.1782877944314,494.1317395592963,712.1033325195312,3754234,61.54154728322872
24,24,24,2020-09-01,CREDITACC,723.9592888470406,754.020899437295,641.1162031851799,737.0057983398438,2602377,62.370351152426615
25,25,25,2020-10-01,CREDITACC,742.4625776276846,757.5430087246035,607.1356962185799,642.8524780273438,1755981,57.33896359014683
26,26,26,2020-11-01,CREDITACC,644.8863091914119,794.9463926763366,611.4514222807996,784.876220703125,3046815,62.281742654706754
