,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
39,39,2013-04-01,3MINDIA,3510.756913002328,3558.1995739888457,3178.6582860967023,3350.73291015625,8116,49.412179865987014
40,40,2013-05-01,3MINDIA,3350.732872918372,3700.5275158231298,3320.9862321489627,3408.5654296875,10942,50.36660339749922
41,41,2013-06-01,3MINDIA,3463.314203715153,3547.7621390934128,3178.6582417659624,3297.264892578125,35249,48.4712540968005
42,42,2013-07-01,3MINDIA,3311.497593572814,3469.0547102223795,3227.049660670814,3264.956298828125,97465,47.90767206025404
43,43,2013-08-01,3MINDIA,3228.0460144763547,3320.9386483419926,2732.69716443304,2831.66259765625,58093,41.019387763022664
44,44,2013-09-01,3MINDIA,2938.361155471036,3054.3584595014986,2813.3497460148938,2884.940673828125,20823,42.121371209959136
45,45,2013-10-01,3MINDIA,2929.726381975423,3316.2418113632834,2847.508347897343,3140.75146484375,6062,47.22039394670648
46,46,2013-11-01,3MINDIA,3060.0515748070457,3169.16969297846,2932.288583887788,3137.003662109375,6915,47.154849240366296
47,47,2013-12-01,3MINDIA,3131.215586205052,3510.756869381421,3051.5594057291337,3463.314208984375,54046,53.24062299651442
48,48,2014-01-01,3MINDIA,3507.815359174545,3586.6651540317694,3335.2190519634046,3425.360107421875,7805,52.4835355706273
49,49,2014-02-01,3MINDIA,3444.3372120574577,4174.954196433282,3415.9191042556413,3486.4189453125,5317,53.626023818386535
50,50,2014-03-01,3MINDIA,3486.418895240476,3604.69335555887,3326.252426583262,3347.127197265625,6967,50.6349993273529
51,51,2014-04-01,3MINDIA,3369.3778269848035,4250.672523583474,3369.3778269848035,3561.662841796875,20038,54.81518555174463
52,52,2014-05-01,3MINDIA,3561.662415721777,4217.082707348782,3236.585476304361,4171.20556640625,10495,64.11337643419262
53,53,2014-06-01,3MINDIA,4089.4151372657,4507.052788814042,3985.183518530311,4270.693359375,62949,65.36610677509013
54,54,2014-07-01,3MINDIA,4344.751675669349,4981.479449288348,4270.788381189877,4652.5595703125,14130,69.73342109935781
55,55,2014-08-01,3MINDIA,4676.897538149463,5844.935856157576,4584.147135561898,5607.67529296875,43112,77.40724428898716
56,56,2014-09-01,3MINDIA,5609.00388205092,6447.457983185132,5323.066855874701,5975.0712890625,25153,79.5546142390805
57,57,2014-10-01,3MINDIA,6025.218138816542,6072.660801326908,5579.304368558706,5882.7001953125,7397,77.5586432770429
58,58,2014-11-01,3MINDIA,5939.821539287751,6507.994698649431,5631.444222950927,5980.2900390625,37775,78.1814704371931
59,59,2014-12-01,3MINDIA,5920.464512888336,6427.5315697507785,5648.997520004615,6120.150390625,17042,79.07766689339
60,60,2015-01-01,3MINDIA,6115.168513303381,6791.463586842647,5887.633716325709,6464.251953125,17585,81.13118732927221
61,61,2015-02-01,3MINDIA,6463.161087094249,8126.927982361263,6167.546046158577,7397.68701171875,24460,85.33582591632599
62,62,2015-03-01,3MINDIA,7486.404448580162,7780.596196263556,7221.057282045956,7529.4345703125,31401,85.81624309576023
63,63,2015-04-01,3MINDIA,7500.684686420213,9094.75809226284,7151.933871554145,7551.685546875,24284,85.90025933350564
64,64,2015-05-01,3MINDIA,7551.685846917507,8065.252671436948,7116.399415973778,7577.58935546875,10247,86.00419605895623
65,65,2015-06-01,3MINDIA,7960.878041801841,8895.498407853667,7410.543206969294,7905.18017578125,19465,87.28110538464409
66,66,2015-07-01,3MINDIA,7927.668230978638,8444.793208343492,7596.234004203277,8243.68359375,41888,88.45338916324687
67,67,2015-08-01,3MINDIA,8397.35079157685,11922.34041764555,8347.867726718558,10237.1298828125,87528,92.71292817721427
68,68,2015-09-01,3MINDIA,9963.148640627229,10793.15798438044,9678.302722243789,10388.044921875,18709,92.92569528937902
69,69,2015-10-01,3MINDIA,10331.16129996204,12120.935717935758,10261.847756334386,11077.9560546875,20706,93.81479570585523
