,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
0,0,0,2024-05-01,SRM,200.1000061035156,202.0,170.64999389648438,175.3000030517578,1764551,
1,1,1,2024-06-01,SRM,177.0500030517578,195.92999267578125,142.85000610351562,177.9600067138672,1492675,
2,2,2,2024-07-01,SRM,179.60000610351562,278.8999938964844,175.0,266.9700012207031,8101917,
3,3,3,2024-08-01,SRM,267.8500061035156,299.8500061035156,238.0500030517578,261.75,3154305,
4,4,4,2024-09-01,SRM,262.1499938964844,294.0,245.1499938964844,264.29998779296875,756217,
5,5,5,2024-10-01,SRM,270.0,288.8999938964844,246.0,267.79998779296875,667766,
6,6,6,2024-11-01,SRM,267.79998779296875,360.1000061035156,257.6499938964844,339.95001220703125,2921567,
7,7,7,2024-12-01,SRM,347.0,414.2000122070313,313.75,398.2999877929688,3548133,
8,8,8,2025-01-01,SRM,403.9500122070313,430.8999938964844,331.45001220703125,331.45001220703125,1034147,
